PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Josh McRoberts,0.4,0.2,2.0,1.1,2.4,0.465
Solomon Hill,0.6,0.2,2.2,0.7,1.4,0.524
James Anderson,0.4,0.3,1.4,0.5,1.1,0.463
Bismack Biyombo,0.2,1.6,5.8,3.1,6.8,0.452
Alonzo Gee,0.9,0.2,2.5,1.1,1.9,0.571
Darrun Hilliard,0.2,0.0,1.1,0.2,0.3,0.583
Drew Gooden,0.3,0.4,1.9,1.0,2.0,0.525
Willie Reed,0.2,0.8,1.9,1.5,3.2,0.46
Glenn Robinson,0.4,0.2,1.2,0.4,0.9,0.488
Kelly Oubre,0.3,0.1,1.7,0.6,1.0,0.623
Phil Pressey,0.8,0.2,1.2,0.6,0.8,0.778
Axel Toupane,0.3,0.3,1.1,0.5,0.8,0.588
Kyle Singler,0.4,0.1,1.3,1.0,1.7,0.583
Jeff Withey,0.4,1.0,2.3,1.8,4.1,0.431
Johnny O'Bryant,0.3,0.1,1.7,1.0,2.0,0.527
Justin Anderson,0.3,0.5,2.1,0.5,0.9,0.563
Kevin Garnett,0.7,0.3,3.6,1.5,2.9,0.509
Dewayne Dedmon,0.4,0.8,2.8,1.8,3.9,0.46
Robert Sacre,0.2,0.4,1.6,1.7,3.0,0.573
Tayshaun Prince,0.5,0.2,1.5,0.9,1.6,0.548
Omer Asik,0.3,0.3,4.3,2.4,4.5,0.528
Kirk Hinrich,0.3,0.0,1.3,0.5,1.0,0.489
Luc Mbah a Moute,0.6,0.3,1.5,0.9,1.6,0.525
Chris Johnson,0.5,0.3,1.5,0.5,1.0,0.486
Tarik Black,0.4,0.5,2.9,1.5,3.2,0.484
Chris Andersen,0.6,0.5,2.3,2.3,3.9,0.594
Reggie Bullock,0.3,0.1,1.5,0.6,0.9,0.6
Andre Miller,0.4,0.0,1.0,0.3,0.5,0.65
Kostas Papanikolaou,0.5,0.2,1.2,0.5,1.2,0.419
Sonny Weems,0.2,0.0,1.1,0.3,0.4,0.706
Pablo Prigioni,0.9,0.0,1.3,0.6,0.9,0.685
Cristiano Felicio,0.2,0.4,2.3,1.1,2.6,0.425
Salah Mejri,0.2,1.1,2.4,1.5,3.9,0.389
Jason Thompson,0.3,0.4,2.2,1.2,2.2,0.533
Lamar Patterson,0.3,0.1,1.3,0.6,1.1,0.541
Ryan Hollins,0.2,0.6,1.4,1.5,3.2,0.475
Kendrick Perkins,0.3,0.3,2.8,1.8,3.4,0.548
Nick Collison,0.3,0.3,1.7,1.0,2.2,0.465
Sergey Karasev,0.2,0.1,1.3,0.6,1.1,0.533
