PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Tim Duncan,0.624,0.19,0.093,0.093,0
Toney Douglas,0.286,0.164,0.09,0.267,0.194
Ramon Sessions,0.279,0.149,0.08,0.279,0.213
Meyers Leonard,0.798,0.1,0.074,0.026,0.002
Langston Galloway,0.507,0.136,0.085,0.196,0.077
PJ Tucker,0.567,0.158,0.115,0.146,0.014
Danny Green,0.719,0.114,0.106,0.059,0.002
Gorgui Dieng,0.689,0.22,0.063,0.028,0
Derrick Williams,0.52,0.17,0.127,0.165,0.018
Bobby Portis,0.634,0.184,0.101,0.076,0.005
Darrell Arthur,0.814,0.084,0.068,0.035,0
Jon Leuer,0.66,0.146,0.155,0.039,0
Carl Landry,0.763,0.137,0.072,0.024,0.004
Nick Young,0.457,0.228,0.116,0.172,0.027
Lance Stephenson,0.234,0.12,0.16,0.316,0.169
Taj Gibson,0.662,0.176,0.084,0.078,0
Aaron Brooks,0.205,0.053,0.094,0.303,0.345
Nene,0.641,0.169,0.099,0.089,0.003
Tyler Johnson,0.467,0.095,0.107,0.165,0.165
Matthew Dellavedova,0.386,0.112,0.09,0.192,0.221
Corey Brewer,0.565,0.165,0.135,0.133,0.002
Ben McLemore,0.588,0.169,0.118,0.116,0.009
E'Twaun Moore,0.35,0.131,0.157,0.208,0.154
DeAndre Jordan,0.858,0.101,0.024,0.018,0
Jason Smith,0.863,0.105,0.023,0.01,0
Frank Kaminsky,0.61,0.149,0.143,0.097,0.002
Lance Thomas,0.524,0.259,0.157,0.055,0.005
Wesley Johnson,0.821,0.115,0.047,0.017,0
Joffrey Lauvergne,0.715,0.127,0.074,0.079,0.005
Shane Larkin,0.218,0.136,0.106,0.208,0.333
Josh Smith,0.676,0.117,0.074,0.106,0.026
Marreese Speights,0.776,0.119,0.086,0.02,0
JaMychal Green,0.75,0.15,0.063,0.037,0
Garrett Temple,0.608,0.117,0.111,0.145,0.02
Brandon Jennings,0.267,0.102,0.073,0.234,0.323
Ian Mahinmi,0.771,0.139,0.067,0.022,0
Mason Plumlee,0.611,0.224,0.059,0.094,0.012
Jose Calderon,0.438,0.102,0.088,0.119,0.252
Patrick Patterson,0.711,0.111,0.113,0.062,0.002
Zaza Pachulia,0.79,0.127,0.055,0.028,0
PJ Hairston,0.663,0.103,0.111,0.103,0.02
David Lee,0.621,0.179,0.094,0.106,0
Luke Babbitt,0.48,0.103,0.189,0.224,0.004
Mike Dunleavy,0.674,0.182,0.107,0.037,0
Andrea Bargnani,0.733,0.202,0.051,0.014,0
Jared Dudley,0.825,0.119,0.033,0.023,0
Greivis Vasquez,0.435,0.087,0.116,0.232,0.13
Cody Zeller,0.707,0.201,0.053,0.039,0
Justise Winslow,0.58,0.167,0.102,0.135,0.015
Randy Foye,0.43,0.089,0.085,0.195,0.2
Paul Pierce,0.655,0.139,0.131,0.063,0.013
Devin Harris,0.489,0.099,0.134,0.22,0.056
Rudy Gobert,0.836,0.099,0.048,0.014,0.003
David West,0.7,0.166,0.083,0.049,0.002
TJ McConnell,0.194,0.086,0.073,0.313,0.334
Donald Sloan,0.338,0.063,0.103,0.278,0.218
Vince Carter,0.583,0.108,0.114,0.169,0.026
Kosta Koufos,0.759,0.161,0.039,0.037,0.005
D.J. Augustin,0.271,0.1,0.071,0.26,0.297
Andre Iguodala,0.549,0.209,0.086,0.123,0.033
Iman Shumpert,0.485,0.155,0.149,0.152,0.059
Andrew Nicholson,0.58,0.098,0.176,0.143,0.003
Kris Humphries,0.789,0.119,0.065,0.027,0
Donatas Motiejunas,0.652,0.176,0.078,0.088,0.005
Leandro Barbosa,0.478,0.189,0.1,0.2,0.032
Trey Lyles,0.621,0.179,0.133,0.067,0
Amir Johnson,0.72,0.14,0.069,0.069,0.002
Alexis Ajinca,0.727,0.215,0.051,0.006,0
Spencer Hawes,0.711,0.138,0.092,0.059,0
Ty Lawson,0.278,0.167,0.099,0.227,0.229
Mario Hezonja,0.543,0.15,0.138,0.123,0.046
Tony Snell,0.525,0.127,0.13,0.15,0.068
Charlie Villanueva,0.64,0.146,0.159,0.055,0
Steven Adams,0.858,0.092,0.026,0.024,0
Maurice Harkless,0.655,0.116,0.116,0.106,0.007
Josh Richardson,0.496,0.088,0.125,0.143,0.147
Willie Cauley-Stein,0.795,0.142,0.05,0.012,0
Dante Cunningham,0.756,0.166,0.054,0.024,0
Tim Hardaway Jr.,0.58,0.163,0.144,0.102,0.011
Jason Terry,0.668,0.062,0.094,0.121,0.056
Markel Brown,0.469,0.197,0.119,0.178,0.038
Raul Neto,0.353,0.113,0.149,0.261,0.125
Clint Capela,0.836,0.116,0.03,0.018,0
Jerian Grant,0.248,0.146,0.097,0.286,0.223
Seth Curry,0.45,0.095,0.095,0.141,0.218
John Henson,0.629,0.296,0.069,0.007,0
Tristan Thompson,0.737,0.175,0.06,0.029,0
Mike Scott,0.827,0.128,0.024,0.019,0.003
Metta World Peace,0.525,0.169,0.113,0.164,0.028
Boris Diaw,0.423,0.151,0.112,0.272,0.042
Roy Hibbert,0.699,0.154,0.066,0.081,0
Channing Frye,0.866,0.076,0.047,0.012,0
Thabo Sefolosha,0.661,0.145,0.077,0.101,0.016
Festus Ezeli,0.796,0.154,0.036,0.014,0
Trevor Booker,0.69,0.163,0.078,0.067,0.003
Anthony Morrow,0.64,0.147,0.111,0.099,0.003
Tyler Zeller,0.819,0.104,0.052,0.021,0.003
Shaun Livingston,0.281,0.152,0.11,0.326,0.131
Cameron Payne,0.289,0.119,0.083,0.181,0.329
Ronnie Price,0.528,0.116,0.093,0.179,0.083
Brandon Bass,0.647,0.23,0.066,0.057,0
Norman Powell,0.428,0.148,0.127,0.245,0.052
Larry Nance Jr.,0.773,0.153,0.05,0.023,0
Rondae Hollis-Jefferson,0.514,0.13,0.174,0.145,0.036
Tyson Chandler,0.834,0.118,0.032,0.016,0
Timofey Mozgov,0.827,0.098,0.045,0.028,0.003
Aron Baynes,0.892,0.084,0.018,0.005,0
Lavoy Allen,0.878,0.065,0.046,0.011,0
Anthony Tolliver,0.931,0.054,0.012,0.003,0
Tim Frazier,0.166,0.105,0.109,0.297,0.323
Joakim Noah,0.735,0.098,0.129,0.038,0
Chris McCullough,0.67,0.229,0.083,0.018,0
Sasha Vujacic,0.692,0.123,0.091,0.076,0.018
Beno Udrih,0.284,0.165,0.113,0.211,0.227
