PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Lavoy Allen,0.897,0.103,0
Anthony Tolliver,0.934,0.066,0
Tim Frazier,0.201,0.45,0.349
Joakim Noah,0.811,0.182,0.008
Chris McCullough,0.807,0.193,0
Sasha Vujacic,0.79,0.188,0.022
Beno Udrih,0.433,0.34,0.227
JJ Hickson,0.761,0.219,0.019
Jonathon Simmons,0.469,0.427,0.104
Richaun Holmes,0.833,0.167,0
Troy Daniels,0.818,0.166,0.016
JaKarr Sampson,0.577,0.397,0.025
Marcelo Huertas,0.326,0.404,0.27
Justin Holiday,0.68,0.276,0.044
Tyus Jones,0.361,0.31,0.329
Anthony Brown,0.728,0.264,0.008
Jarell Martin,0.724,0.267,0.009
Tiago Splitter,0.727,0.26,0.013
Dwight Powell,0.919,0.081,0
Amar'e Stoudemire,0.738,0.231,0.032
Kevin Seraphin,0.534,0.387,0.078
James Johnson,0.468,0.481,0.051
Richard Jefferson,0.735,0.252,0.013
Kyle O'Quinn,0.649,0.284,0.066
CJ Watson,0.496,0.365,0.139
Steve Blake,0.508,0.25,0.242
Ryan Kelly,0.671,0.309,0.02
Thomas Robinson,0.694,0.289,0.017
Ed Davis,0.829,0.165,0.006
Tyler Ennis,0.337,0.396,0.267
Andrew Bogut,0.875,0.11,0.015
JaVale McGee,0.799,0.194,0.007
Andre Roberson,0.879,0.11,0.011
Nemanja Bjelica,0.77,0.204,0.026
Kendall Marshall,0.453,0.316,0.231
Miles Plumlee,0.738,0.253,0.009
Kyle Anderson,0.405,0.503,0.092
Rashad Vaughn,0.788,0.205,0.008
Cole Aldrich,0.836,0.16,0.004
John Jenkins,0.6,0.294,0.106
Jonas Jerebko,0.805,0.195,0
Shabazz Napier,0.388,0.373,0.239
Quincy Acy,0.843,0.148,0.01
Chase Budinger,0.787,0.197,0.017
Brandon Rush,0.823,0.162,0.015
Joe Ingles,0.715,0.261,0.024
Noah Vonleh,0.723,0.259,0.018
Ray McCallum,0.517,0.276,0.207
Josh McRoberts,0.608,0.338,0.054
Solomon Hill,0.643,0.324,0.034
James Anderson,0.651,0.297,0.051
Bismack Biyombo,0.844,0.156,0
Alonzo Gee,0.672,0.328,0
Darrun Hilliard,0.504,0.481,0.015
Drew Gooden,0.738,0.252,0.01
Willie Reed,0.88,0.12,0
Glenn Robinson,0.689,0.298,0.013
Kelly Oubre,0.626,0.289,0.085
Phil Pressey,0.156,0.532,0.312
Axel Toupane,0.9,0.1,0
Kyle Singler,0.842,0.149,0.009
Jeff Withey,0.926,0.074,0
Johnny O'Bryant,0.813,0.177,0.01
Justin Anderson,0.69,0.27,0.04
Kevin Garnett,0.809,0.191,0
Dewayne Dedmon,0.847,0.153,0
Robert Sacre,0.707,0.293,0
Tayshaun Prince,0.728,0.241,0.031
Omer Asik,0.865,0.13,0.005
Kirk Hinrich,0.388,0.434,0.178
Luc Mbah a Moute,0.836,0.164,0
Chris Johnson,0.751,0.233,0.016
Tarik Black,0.769,0.221,0.01
Chris Andersen,0.847,0.139,0.014
