PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Lavoy Allen,0.019,0.204,0.019,0.315,0.352,0.056,0.0
Anthony Tolliver,0.038,0.792,0.0,0.057,0.057,0.019,0.822
Tim Frazier,0.275,0.078,0.353,0.039,0.039,0.0,0.21
Joakim Noah,0.093,0.047,0.0,0.326,0.256,0.093,0.008
Chris McCullough,0.064,0.383,0.128,0.106,0.128,0.085,0.321
Sasha Vujacic,0.061,0.612,0.163,0.0,0.02,0.0,0.518
Beno Udrih,0.191,0.234,0.426,0.021,0.043,0.0,0.222
JJ Hickson,0.051,0.068,0.051,0.339,0.339,0.119,0.006
Jonathon Simmons,0.35,0.167,0.083,0.1,0.083,0.05,0.195
Richaun Holmes,0.036,0.107,0.0,0.321,0.393,0.143,0.198
Troy Daniels,0.036,0.786,0.125,0.0,0.018,0.089,0.652
JaKarr Sampson,0.353,0.118,0.059,0.118,0.157,0.059,0.199
Marcelo Huertas,0.289,0.111,0.4,0.067,0.089,0.022,0.265
Justin Holiday,0.089,0.444,0.156,0.067,0.089,0.022,0.458
Tyus Jones,0.286,0.143,0.333,0.024,0.024,0.024,0.335
Anthony Brown,0.125,0.55,0.175,0.025,0.025,0.0,0.56
Jarell Martin,0.053,0.123,0.035,0.263,0.281,0.053,0.017
Tiago Splitter,0.0,0.018,0.018,0.571,0.643,0.036,0.013
Dwight Powell,0.034,0.172,0.017,0.448,0.448,0.069,0.054
Amar'e Stoudemire,0.0,0.103,0.017,0.431,0.5,0.086,0.0
Kevin Seraphin,0.026,0.231,0.103,0.308,0.333,0.154,0.01
James Johnson,0.353,0.196,0.039,0.078,0.078,0.02,0.277
Richard Jefferson,0.182,0.418,0.127,0.073,0.073,0.036,0.555
Kyle O'Quinn,0.021,0.271,0.083,0.271,0.292,0.146,0.081
CJ Watson,0.256,0.302,0.186,0.023,0.023,0.0,0.35
Steve Blake,0.159,0.409,0.364,0.0,0.023,0.0,0.629
Ryan Kelly,0.119,0.262,0.143,0.095,0.119,0.048,0.248
Thomas Robinson,0.07,0.023,0.023,0.302,0.279,0.07,0.003
Ed Davis,0.031,0.0,0.0,0.385,0.354,0.092,0.0
Tyler Ennis,0.333,0.178,0.244,0.0,0.022,0.0,0.209
Andrew Bogut,0.019,0.019,0.019,0.537,0.574,0.037,0.004
JaVale McGee,0.039,0.059,0.039,0.51,0.529,0.02,0.007
Andre Roberson,0.042,0.271,0.0,0.229,0.25,0.021,0.377
Nemanja Bjelica,0.118,0.392,0.098,0.176,0.176,0.02,0.535
Kendall Marshall,0.27,0.432,0.162,0.027,0.027,0.0,0.41
Miles Plumlee,0.02,0.02,0.02,0.608,0.627,0.039,0.0
Kyle Anderson,0.222,0.133,0.311,0.044,0.067,0.022,0.122
Rashad Vaughn,0.097,0.613,0.161,0.032,0.032,0.032,0.549
Cole Aldrich,0.036,0.0,0.0,0.6,0.527,0.109,0.0
