PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
Sasha Vujacic,0.2,0.5,3.3,22.4,1.4,2.1,0.061,0.094
Beno Udrih,0.3,0.7,5.5,32.7,2.6,3.6,0.081,0.11
JJ Hickson,0.1,0.3,1.4,15.9,0.7,1.1,0.041,0.066
Jonathon Simmons,0.1,0.3,2.1,15.9,1.1,1.5,0.066,0.092
Richaun Holmes,0.0,0.1,1.1,15.9,0.6,0.7,0.041,0.046
Troy Daniels,0.0,0.0,1.0,9.3,0.5,0.6,0.052,0.062
JaKarr Sampson,0.0,0.2,1.3,11.5,0.6,0.9,0.055,0.079
Marcelo Huertas,0.4,0.5,6.4,29.6,3.4,4.3,0.116,0.146
Justin Holiday,0.2,0.3,1.7,11.1,1.1,1.5,0.096,0.137
Tyus Jones,0.1,0.8,6.0,29.1,2.9,3.8,0.1,0.132
Anthony Brown,0.0,0.3,1.6,16.6,0.7,1.0,0.039,0.058
Jarell Martin,0.0,0.1,1.1,15.4,0.6,0.7,0.036,0.048
Tiago Splitter,0.1,0.3,1.6,16.4,0.8,1.2,0.051,0.073
Dwight Powell,0.1,0.1,1.5,20.7,0.6,0.8,0.031,0.038
Amar'e Stoudemire,0.0,0.1,1.0,13.2,0.5,0.7,0.039,0.051
Kevin Seraphin,0.2,0.2,1.8,16.4,1.0,1.3,0.06,0.08
James Johnson,0.2,0.2,2.1,13.0,1.2,1.5,0.091,0.118
Richard Jefferson,0.1,0.3,1.7,14.8,0.8,1.2,0.054,0.084
Kyle O'Quinn,0.1,0.2,2.1,21.3,1.1,1.4,0.052,0.068
CJ Watson,0.3,0.8,5.3,29.8,2.7,3.7,0.089,0.125
Steve Blake,0.5,0.9,7.1,35.0,3.4,4.8,0.099,0.138
Ryan Kelly,0.1,0.1,1.1,15.3,0.6,0.7,0.036,0.046
Thomas Robinson,0.0,0.1,1.0,17.6,0.6,0.8,0.037,0.046
Ed Davis,0.1,0.3,2.3,26.5,1.1,1.5,0.041,0.056
Tyler Ennis,0.2,0.6,4.0,24.8,2.1,2.9,0.083,0.116
Andrew Bogut,0.1,0.7,4.3,30.4,2.3,3.2,0.076,0.104
JaVale McGee,0.0,0.1,0.4,10.7,0.1,0.2,0.008,0.016
Andre Roberson,0.1,0.2,1.6,12.6,0.7,1.0,0.053,0.077
Nemanja Bjelica,0.1,0.4,2.9,31.4,1.4,1.9,0.044,0.062
Kendall Marshall,0.3,0.6,5.1,23.8,2.4,3.4,0.102,0.141
Miles Plumlee,0.0,0.2,1.0,13.9,0.3,0.5,0.019,0.033
Kyle Anderson,0.2,0.5,2.8,21.8,1.6,2.2,0.072,0.102
Rashad Vaughn,0.0,0.1,0.9,8.1,0.6,0.7,0.069,0.085
Cole Aldrich,0.0,0.1,1.7,21.2,0.8,1.0,0.039,0.046
John Jenkins,0.0,0.2,1.9,9.8,0.8,1.0,0.083,0.107
Jonas Jerebko,0.1,0.4,1.8,20.9,0.8,1.3,0.038,0.061
Shabazz Napier,0.1,0.4,3.9,19.1,1.8,2.3,0.092,0.119
Quincy Acy,0.0,0.1,1.0,14.5,0.5,0.6,0.032,0.044
Chase Budinger,0.2,0.3,1.8,12.4,1.0,1.4,0.078,0.116
Brandon Rush,0.1,0.5,1.5,14.3,0.8,1.3,0.055,0.091
Joe Ingles,0.3,0.2,2.5,20.4,1.2,1.6,0.058,0.08
Noah Vonleh,0.1,0.1,1.0,17.8,0.4,0.6,0.022,0.032
Ray McCallum,0.1,0.6,2.9,21.2,1.5,2.1,0.069,0.099
Josh McRoberts,0.2,0.3,3.8,23.8,1.9,2.4,0.081,0.101
Solomon Hill,0.2,0.3,2.1,16.9,1.0,1.4,0.057,0.084
James Anderson,0.1,0.3,1.9,10.6,0.8,1.2,0.077,0.113
Bismack Biyombo,0.1,0.2,0.9,23.3,0.3,0.6,0.015,0.026
Alonzo Gee,0.1,0.3,1.8,16.5,1.0,1.4,0.06,0.082
Darrun Hilliard,0.1,0.2,1.5,7.5,0.7,0.9,0.094,0.126
Drew Gooden,0.1,0.2,1.0,13.9,0.4,0.7,0.031,0.05
Willie Reed,0.0,0.1,0.5,8.6,0.3,0.4,0.03,0.045
Glenn Robinson,0.1,0.2,1.3,10.3,0.6,0.8,0.056,0.082
Kelly Oubre,0.0,0.2,0.5,8.0,0.2,0.4,0.026,0.051
Phil Pressey,0.3,0.7,6.1,25.0,3.3,4.2,0.13,0.169
Axel Toupane,0.1,0.2,1.1,10.4,0.7,1.1,0.068,0.105
Kyle Singler,0.0,0.1,0.8,9.1,0.4,0.5,0.039,0.058
Jeff Withey,0.0,0.1,1.0,18.1,0.4,0.5,0.022,0.027
Johnny O'Bryant,0.1,0.1,1.0,15.5,0.5,0.6,0.031,0.041
Justin Anderson,0.1,0.1,1.1,12.9,0.5,0.7,0.041,0.055
Kevin Garnett,0.1,0.3,2.7,26.4,1.6,2.1,0.062,0.079
Dewayne Dedmon,0.0,0.1,0.7,11.4,0.2,0.3,0.02,0.026
Robert Sacre,0.0,0.2,1.1,12.5,0.6,0.8,0.045,0.064
Tayshaun Prince,0.1,0.3,1.9,15.5,1.0,1.3,0.062,0.081
Omer Asik,0.0,0.1,0.9,23.3,0.4,0.6,0.016,0.024
Kirk Hinrich,0.1,0.6,2.9,20.2,1.6,2.3,0.078,0.112
Luc Mbah a Moute,0.1,0.2,0.9,10.9,0.4,0.7,0.037,0.061
Chris Johnson,0.1,0.2,1.3,10.6,0.6,0.9,0.061,0.082
Tarik Black,0.0,0.1,1.0,14.5,0.4,0.5,0.028,0.034
Chris Andersen,0.1,0.0,1.0,16.1,0.4,0.6,0.028,0.035
Reggie Bullock,0.0,0.1,1.4,12.8,0.7,0.9,0.057,0.068
Andre Miller,0.2,0.5,4.2,22.3,2.2,2.9,0.1,0.131
Kostas Papanikolaou,0.0,0.4,1.7,11.8,0.6,1.1,0.052,0.091
Sonny Weems,0.1,0.1,2.6,12.2,1.1,1.4,0.093,0.116
Pablo Prigioni,0.1,0.5,4.4,26.5,2.2,2.9,0.083,0.109
Cristiano Felicio,0.0,0.3,1.6,17.0,0.8,1.1,0.049,0.067
Salah Mejri,0.1,0.1,0.8,12.1,0.3,0.5,0.024,0.041
Jason Thompson,0.0,0.2,1.1,15.6,0.6,0.8,0.04,0.052
Lamar Patterson,0.1,0.1,1.9,12.6,1.1,1.3,0.088,0.102
Ryan Hollins,0.0,0.1,0.7,10.8,0.3,0.4,0.025,0.035
Kendrick Perkins,0.1,0.3,1.5,19.5,0.8,1.2,0.043,0.061
Nick Collison,0.1,0.1,1.9,12.6,0.9,1.1,0.07,0.087
Sergey Karasev,0.1,0.2,1.5,9.7,0.9,1.2,0.091,0.124
