name,Post-Up,Putbacks,Cut,P&R Roll Man,Spot-Up,Handoff,Offscreen,Transition,Miscellaneous,Isolation,P&R Ball Handler,Restricted Area,Paint Area,Mid Range,3P
Josh.Richardson,0,0,0.021922428,0,0.340640813,0.109612145,0.053962901,0.141652614,0.035413153,0.045531198,0.251264751,0.183235869,0.09551657,0.278752446,0.442495137
Victor.Oladipo,0,0.012808783,0.056724612,0,0.217749313,0.047575481,0.052150045,0.236962482,0.030192131,0.043000914,0.302836239,0.289699584,0.111587986,0.221030042,0.377682418
James.Ennis,0,0.099033818,0.115942031,0.024154589,0.345410615,0,0.050724637,0.202898547,0.050724637,0.041062802,0.07004831,0.462500006,0.034375001,0.078125,0.425000012
Sam.Dekker,0,0.094339624,0.088050313,0.04192872,0.404612154,0,0.050314464,0.276729554,0.044025157,0,0,0.459207445,0.072261073,0.032634031,0.43589744
Sean.Kilpatrick,0,0.01446281,0.0392562,0,0.267561972,0.071280994,0.049586777,0.17355372,0.050619833,0.060950413,0.272727281,0.304761916,0.130612239,0.145578235,0.419047624
Yogi.Ferrell,0,0,0,0,0.202150539,0,0.049462367,0.107526883,0.064516127,0.070967741,0.505376339,0.213197976,0.0964467,0.243654817,0.446700513
Dwight.Powell,0,0.044967879,0.209850103,0.389721632,0.145610273,0,0.049250536,0.06423983,0.074946463,0.021413276,0,0.482758611,0.087533154,0.233421758,0.19628647
Lou.Williams,0,0,0.01969697,0,0.127272725,0.083333336,0.048484847,0.161363631,0.036363635,0.095454544,0.428030312,0.238716155,0.167502508,0.147442326,0.446339011
Norman.Powell,0,0.020092735,0.01854714,0,0.262751162,0.032457497,0.04636785,0.222565681,0.035548687,0.075734161,0.285935074,0.465346545,0.08118812,0.112871289,0.340594053
Kemba.Walker,0,0.009653606,0.018171493,0,0.103350371,0.060193073,0.045996591,0.114707552,0.036342986,0.062464509,0.54911983,0.32091096,0.06142167,0.202208415,0.415458947
Dorian.Finney-Smith,0,0.053571429,0.073979594,0,0.540816307,0,0.045918368,0.135204077,0.071428575,0.030612245,0.048469387,0.288288295,0.045045044,0.09309309,0.573573589
Dion.Waiters,0,0,0,0,0.211372063,0.05315204,0.045735475,0.150803462,0.033374537,0.221260816,0.284301609,0.369532436,0.064856716,0.241327301,0.32428357
Dennis.Schroder,0,0.00826972,0.011450382,0,0.102417305,0.045165394,0.045165394,0.110687025,0.060432568,0.111323155,0.505089045,0.40478152,0.107996702,0.245671883,0.241549879
Caris.LeVert,0,0,0.029473685,0,0.311578959,0.067368418,0.042105265,0.227368414,0.035789475,0.082105264,0.20421052,0.307894737,0.105263159,0.102631576,0.484210521
Manu.Ginobili,0,0,0.049733572,0,0.319715798,0.088809945,0.040852576,0.14031972,0.053285968,0.058614563,0.248667851,0.22779043,0.118451022,0.136674255,0.517084301
Tony.Parker,0,0,0,0,0.173850581,0.074712642,0.040229887,0.149425283,0.038793102,0.066091955,0.456896544,0.31634447,0.223198593,0.339191556,0.121265382
Matthew.Dellavedova,0,0,0.025714286,0.032857142,0.238571435,0.051428571,0.039999999,0.094285712,0.078571431,0.039999999,0.398571432,0.165103182,0.264540344,0.168855533,0.40150094
George.Hill,0,0,0.033200532,0,0.197875172,0.08233732,0.038512617,0.086321384,0.050464809,0.079681277,0.431606919,0.249174923,0.125412539,0.24092409,0.384488463
Darren.Collison,0,0,0.043083899,0,0.170068026,0.072562359,0.037414964,0.172335595,0.052154195,0.089569159,0.362811804,0.295518219,0.109243698,0.350140065,0.24509804
Matt.Barnes,0,0.0625,0.100694448,0.041666668,0.388888896,0,0.036458332,0.171875,0.126736104,0.024305556,0.046875,0.266949147,0.076271184,0.101694912,0.555084765
Dante.Exum,0,0.031380754,0.048117153,0,0.330543935,0.039748956,0.035564855,0.152719662,0.037656903,0.071129709,0.253138065,0.460055083,0.079889804,0.049586777,0.41046831
Malcolm.Delaney,0,0,0,0,0.201183438,0.051282052,0.035502959,0.149901375,0.09072978,0.09072978,0.380670607,0.134020612,0.067010306,0.515463889,0.283505142
Shelvin.Mack,0,0,0.026262626,0,0.274747461,0.060606062,0.034343433,0.096969694,0.046464648,0.060606062,0.400000006,0.28083989,0.22047244,0.183727041,0.314960629
Iman.Shumpert,0,0,0,0,0.396258503,0.023809524,0.032312926,0.198979586,0.05102041,0.11054422,0.187074825,0.157786891,0.05532787,0.254098356,0.532786906
Will.Barton,0,0.03229665,0.057416268,0,0.188995212,0.061004784,0.031100478,0.202153116,0.047846891,0.075358853,0.303827763,0.348348349,0.159159154,0.139639646,0.352852851
Derrick.Rose,0,0.026165167,0.04497138,0,0.123466887,0.045789044,0.031071136,0.170891255,0.048242029,0.117743254,0.391659856,0.438075751,0.209825993,0.290685773,0.061412487
Stanley.Johnson,0,0.040178571,0,0,0.350446433,0.033482142,0.029017856,0.176339284,0.049107142,0.049107142,0.272321433,0.15384616,0.140109897,0.285714298,0.42032966
Brandon.Knight,0,0.014577259,0.016034985,0,0.142857149,0.049562681,0.027696794,0.170553938,0.046647232,0.099125363,0.432944596,0.27619049,0.159999996,0.299047619,0.264761895
Richard.Jefferson,0,0.029953917,0.110599078,0.055299539,0.449308753,0,0.02764977,0.168202758,0.094470046,0.039170507,0.025345622,0.30994153,0.076023392,0.073099412,0.540935695
Mike.Muscala,0,0.109756097,0.163414627,0.217073172,0.282926828,0,0.026829269,0.102439024,0.097560972,0,0,0.303571433,0.110119045,0.261904776,0.324404776
Jamal.Crawford,0,0.01116279,0,0,0.19069767,0.059534885,0.026046511,0.115348838,0.047441859,0.254883707,0.294883728,0.128027678,0.128027678,0.376009226,0.367935419
Randy.Foye,0,0,0,0,0.330985904,0.04225352,0.025821596,0.159624413,0.06807512,0.089201875,0.28403756,0.222222224,0.064814813,0.089506172,0.623456776
Jonathon.Simmons,0,0,0.043795619,0,0.293795615,0.080291972,0.025547445,0.173357666,0.052919708,0.118613139,0.211678833,0.389548689,0.121140145,0.247030884,0.24228029
Cory.Joseph,0,0.017177913,0,0,0.223312885,0.020858895,0.024539877,0.123926379,0.049079753,0.084662579,0.45644173,0.290468991,0.211800307,0.293494701,0.204236001
Andrew.Harrison,0,0,0.026465029,0,0.21361059,0.024574669,0.02268431,0.119092628,0.073724009,0.12098299,0.398865789,0.300000012,0.094444446,0.172222227,0.433333337
Isaiah.Whitehead,0,0.021398002,0.027104137,0,0.213980034,0.034236804,0.021398002,0.191155493,0.068473607,0.082738943,0.339514971,0.429980278,0.143984213,0.132149905,0.293885589
Goran.Dragic,0,0.01899593,0.020352781,0.008819539,0.137720495,0.061058346,0.020352781,0.185888737,0.037991859,0.076662146,0.432157397,0.295636684,0.201246664,0.246660724,0.256455928
Ty.Lawson,0,0.022788204,0.021447722,0,0.174262732,0.036193028,0.020107239,0.162198395,0.079088472,0.044235926,0.439678282,0.316091955,0.126436785,0.33141762,0.22605364
Raymond.Felton,0,0,0,0,0.202614382,0.050653595,0.019607844,0.127450988,0.060457516,0.112745099,0.426470578,0.34375,0.119140625,0.259765625,0.27734375
Patrick.Beverley,0,0.025110783,0.016248154,0,0.3293944,0.036927622,0.014771049,0.178729683,0.048744462,0.078286558,0.271787286,0.243992612,0.164510161,0.062846579,0.528650641
Jameer.Nelson,0,0,0.030463576,0,0.238410592,0.09668874,0.013245033,0.125827819,0.049006622,0.068874173,0.377483457,0.228855714,0.069651738,0.25041458,0.451077938
Austin.Rivers,0,0,0.019480519,0,0.198051944,0.071428575,0.012987013,0.13203463,0.034632035,0.19480519,0.336580098,0.349794239,0.15912208,0.083676271,0.407407403
Reggie.Jackson,0,0.016646849,0,0,0.090368606,0.039239001,0.011890606,0.123662308,0.049940545,0.089179546,0.579072535,0.255917162,0.208579883,0.264792889,0.270710051
Elfrid.Payton,0,0.045068026,0.030612245,0,0.147108838,0.031462584,0.009353741,0.22023809,0.058673471,0.081632651,0.37585035,0.461622804,0.211622804,0.166666672,0.16008772
Luke.Babbitt,0,0,0,0.118881121,0.664335668,0,0,0.157342657,0.059440561,0,0,0.046263345,0.074733093,0.131672591,0.747330964
Patrick.Patterson,0,0.085057475,0.043678161,0.142528743,0.563218415,0,0,0.094252877,0.071264371,0,0,0.15625,0.0859375,0.098958336,0.658854187
Jonas.Jerebko,0,0.074576274,0.105084747,0.077966101,0.549152553,0,0,0.11186441,0.081355929,0,0,0.282442749,0.129770994,0.091603056,0.496183217
Dante.Cunningham,0,0.077319585,0.15206185,0.048969071,0.5,0,0,0.182989687,0.038659792,0,0,0.301675975,0.055865921,0.139664799,0.502793312
Nemanja.Bjelica,0,0.081339709,0.066985644,0.107655503,0.437799037,0,0,0.160287082,0.043062203,0.069377989,0.033492822,0.292134821,0.148876399,0.061797753,0.497191012
Luc.Mbah,0,0.036363635,0.159090906,0.052272726,0.429545462,0.031818181,0,0.220454544,0.03409091,0,0.036363635,0.489130437,0.024456521,0.214673907,0.271739125
Solomon.Hill,0,0.033167496,0.051409617,0,0.409618586,0.021558871,0,0.2570481,0.044776119,0.066334993,0.116086237,0.310924381,0.056722689,0.069327734,0.563025236
Corey.Brewer,0,0,0.073107049,0,0.394255877,0.054830287,0,0.339425594,0.062663183,0,0.075718015,0.461095095,0.141210377,0.06051873,0.337175786
Jason.Smith,0,0.081012659,0.060759492,0.334177226,0.344303787,0,0,0.073417723,0.106329113,0,0,0.189024389,0.082317077,0.493902445,0.234756097
Andre.Roberson,0,0.097122304,0.183453232,0.019784173,0.321942449,0.039568346,0,0.228417262,0.073741004,0,0.035971224,0.54643631,0.041036718,0.015118791,0.397408217
Ricky.Rubio,0,0.017913593,0.024236038,0,0.263435185,0.037934668,0,0.171759754,0.066385671,0.029504742,0.388830334,0.20615384,0.072307691,0.419999987,0.301538467
Rajon.Rondo,0,0.031420764,0.024590164,0,0.219945356,0.042349726,0,0.161202192,0.064207651,0.054644808,0.401639342,0.390374333,0.11586453,0.256684482,0.237076655
Kris.Dunn,0,0.023640662,0.028368793,0,0.212765962,0.026004728,0,0.215130016,0.082742319,0.063829787,0.347517729,0.268370599,0.130990416,0.36741215,0.233226836
Sergio.Rodriguez,0,0,0,0,0.211332306,0.076569676,0,0.125574276,0.053598776,0.055130169,0.477794796,0.166355133,0.115887851,0.248598129,0.469158888
Spencer.Dinwiddie,0,0,0,0,0.187654316,0,0,0.140740737,0.091358028,0.128395066,0.451851845,0.324503303,0.145695359,0.195364237,0.334437072
Brandon.Jennings,0,0,0.015669515,0,0.146723643,0.035612535,0,0.236467242,0.054131053,0.081196584,0.430199444,0.239252344,0.10093458,0.188785046,0.47102803
Ish.Smith,0,0,0,0,0.145413876,0.038031321,0,0.239373595,0.046979867,0.058165547,0.472035795,0.315086782,0.196261689,0.348464608,0.140186921
T.J..McConnell,0,0.016949153,0.050847456,0,0.111581922,0.080508478,0,0.172316387,0.062146891,0.042372882,0.463276833,0.374509811,0.28039217,0.241176471,0.10392157
Tyler.Ulis,0,0,0,0,0.092452832,0.02264151,0,0.158490568,0.064150944,0.094339624,0.5679245,0.114416473,0.226544619,0.478260875,0.180778027
Lucas.Nogueira,0,0.180616736,0.207048461,0.286343604,0.066079296,0,0,0.114537448,0.145374447,0,0,0.839743614,0.044871796,0.03846154,0.07692308
Nerlens.Noel,0,0.181578949,0.278947383,0.257894725,0.065789476,0,0,0.113157898,0.07631579,0.02631579,0,0.660194159,0.16504854,0.171521038,0.003236246
Joakim.Noah,0,0.358620703,0.179310352,0.137931034,0.058620691,0,0,0.096551724,0.134482756,0.034482758,0,0.915841579,0.054455444,0.024752475,0.004950495
Tristan.Thompson,0,0.219895288,0.29842931,0.267015696,0,0,0,0.109947644,0.104712039,0,0,0.707093835,0.247139588,0.038901601,0.006864989
Tyson.Chandler,0,0.267441869,0.308139533,0.174418598,0,0,0,0.055232558,0.194767445,0,0,0.942982435,0.048245613,0.00877193,0
