Brook.Lopez,0.7632967648773846(0.7632967648773846),0.1674192998277626(0.1674192998277626),0.1529040680425018(0.1529040680425018),0.42965271940562955(0.42965271940562955),0.3163161397500036(0.3163161397500036),0.0832081854698379(0.0832081854698379),0.1305455796159759(0.1305455796159759),0.1143807835015366(0.1143807835015366),0.15715610519989562(0.15715610519989562),0.23555851296528735(0.23555851296528735),0.0(0.0),0.25808771731104846(0.25808771731104846),0.6188806706759293(0.6188806706759293),0.20692676022984954(0.20692676022984954),0.43415814682656545(0.43415814682656545)
Hassan.Whiteside,0.7425545797077787(0.7425545797077787),0.562488688780469(0.562488688780469),0.46278215279394724(0.46278215279394724),0.40926549081063074(0.40926549081063074),0.045899344967881506(0.045899344967881506),0.0(0.0),0.0(0.0),0.033969560917225194(0.033969560917225194),0.3258691474184788(0.3258691474184788),0.17791615452297233(0.17791615452297233),0.0(0.0),0.5185804183674313(0.5185804183674313),0.7435555876924684(0.7435555876924684),0.28292145112978995(0.28292145112978995),0.0(0.0)
Karl-Anthony.Towns,0.723116060122856(0.723116060122856),0.308995719078717(0.308995719078717),0.15174623169534113(0.15174623169534113),0.5010403861800518(0.5010403861800518),0.17085020339446835(0.17085020339446835),0.0(0.0),0.17490201270799755(0.17490201270799755),0.13368301490706427(0.13368301490706427),0.18715349571422277(0.18715349571422277),0.32501188473376996(0.32501188473376996),0.0(0.0),0.41470907351959085(0.41470907351959085),0.448083802645508(0.448083802645508),0.34923593426309996(0.34923593426309996),0.2435830035118152(0.2435830035118152)
Taj.Gibson,0.7159882186356455(0.7159882186356455),0.30084328957438916(0.30084328957438916),0.43244786208975317(0.43244786208975317),0.43162463458020217(0.43162463458020217),0.1798632284184386(0.1798632284184386),0.0(0.0),0.0(0.0),0.14925487264276355(0.14925487264276355),0.2277655938596039(0.2277655938596039),0.17295545689783928(0.17295545689783928),0.0(0.0),0.4765158971304685(0.4765158971304685),0.5689363805968016(0.5689363805968016),0.4585807586902145(0.4585807586902145),0.0241080278472626(0.0241080278472626)
Jonas.Valanciunas,0.6881243215244683(0.6881243215244683),0.5415990554231891(0.5415990554231891),0.4025473648920922(0.4025473648920922),0.5354002032917691(0.5354002032917691),0.06348501522877739(0.06348501522877739),0.0(0.0),0.0(0.0),0.03568447962270935(0.03568447962270935),0.3593945246522873(0.3593945246522873),0.11321565171680431(0.11321565171680431),0.0(0.0),0.5242348166775797(0.5242348166775797),0.541879787893029(0.541879787893029),0.4289181429059789(0.4289181429059789),0.0037459113827903053(0.0037459113827903053)
Kevin.Love,0.661149569258228(0.661149569258228),0.23489757366294606(0.23489757366294606),0.10038363276355701(0.10038363276355701),0.31609332375986765(0.31609332375986765),0.35995423476193666(0.35995423476193666),0.0(0.0),0.18543439513698293(0.18543439513698293),0.23652818260336445(0.23652818260336445),0.22465112130053136(0.22465112130053136),0.2203335107645778(0.2203335107645778),0.0(0.0),0.20708120469323915(0.20708120469323915),0.28957625258877284(0.28957625258877284),0.33325057053700174(0.33325057053700174),0.5914391901811459(0.5914391901811459)
Steven.Adams,0.6546049448794762(0.6546049448794762),0.4926180349381558(0.4926180349381558),0.4504574608780611(0.4504574608780611),0.6156003241821588(0.6156003241821588),0.0(0.0),0.0(0.0),0.0(0.0),0.17345261955953675(0.17345261955953675),0.40116295293143805(0.40116295293143805),0.0(0.0),0.0(0.0),0.6493622667088705(0.6493622667088705),0.7360041970832927(0.7360041970832927),0.06710109982293609(0.06710109982293609),0.0020073514610236807(0.0020073514610236807)
Nikola.Vucevic,0.6396531258841077(0.6396531258841077),0.26141825950299363(0.26141825950299363),0.24234360556262774(0.24234360556262774),0.601390789618781(0.601390789618781),0.22529431311521875(0.22529431311521875),0.0427388570103622(0.0427388570103622),0.03466130554277188(0.03466130554277188),0.11684836783415457(0.11684836783415457),0.22136510507071372(0.22136510507071372),0.2193982999470421(0.2193982999470421),0.0(0.0),0.21880111676426575(0.21880111676426575),0.5531141765363349(0.5531141765363349),0.800197351235025(0.800197351235025),0.09692136055975792(0.09692136055975792)
Dirk.Nowitzki,0.609738567438497(0.609738567438497),0.05518063746587436(0.05518063746587436),0.06645689670571325(0.06645689670571325),0.727804506371358(0.727804506371358),0.37730872670831817(0.37730872670831817),0.0(0.0),0.16284150404519102(0.16284150404519102),0.1480764874178778(0.1480764874178778),0.10101771090034954(0.10101771090034954),0.1449261525374786(0.1449261525374786),0.0(0.0),0.03371859632771881(0.03371859632771881),0.1716548022991005(0.1716548022991005),0.9797626672831513(0.9797626672831513),0.40530426199566116(0.40530426199566116)
DeMarcus.Cousins,0.5961538710297211(0.5961538710297211),0.15240579125182296(0.15240579125182296),0.07520459307500256(0.07520459307500256),0.3895648958998509(0.3895648958998509),0.28414127389589444(0.28414127389589444),0.039451248227450525(0.039451248227450525),0.11731519192783503(0.11731519192783503),0.17732652738062155(0.17732652738062155),0.24752690777211442(0.24752690777211442),0.605579049429001(0.605579049429001),0.02709204469522976(0.02709204469522976),0.40578700809146645(0.40578700809146645),0.33581895173176673(0.33581895173176673),0.3272802917201224(0.3272802917201224),0.33329452701202517(0.33329452701202517)
